12:01:54.619037 bc:d1:1f:1e:50:66 > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 103: 172.27.27.1.5353 > 224.0.0.251.5353: 4 [2q] PTR (QM)? _233637DE._sub._googlecast._tcp.local. PTR (QM)? _googlecast._tcp.local. (61)
12:01:55.350268 c0:38:96:98:fc:69 > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 97: 172.27.22.185.5353 > 224.0.0.251.5353: 0 SRV (QM)? Prakhar's MacBook Air._smb._tcp.local. (55)
12:01:55.454981 38:e6:0a:c8:be:dc > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 103: 172.27.30.193.5353 > 224.0.0.251.5353: 1 [2q] PTR (QU)? _37F83649._sub._googlecast._tcp.local. PTR (QU)? _googlecast._tcp.local. (61)
12:01:55.504752 38:e6:0a:c8:be:dc > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 103: 172.27.30.193.5353 > 224.0.0.251.5353: 1 [2q] PTR (QU)? _37F83649._sub._googlecast._tcp.local. PTR (QU)? _googlecast._tcp.local. (61)
12:01:56.498711 38:e6:0a:c8:be:dc > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 103: 172.27.30.193.5353 > 224.0.0.251.5353: 2 [2q] PTR (QM)? _37F83649._sub._googlecast._tcp.local. PTR (QM)? _googlecast._tcp.local. (61)
12:01:56.708753 4c:18:9a:cd:1b:08 > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 152: 172.27.30.160.5353 > 224.0.0.251.5353: 8 [3q] PTR (QM)? _37F83649._sub._googlecast._tcp.local. PTR (QM)? _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local. PTR (QM)? _googlecast._tcp.local. (110)
12:01:57.021111 bc:ee:7b:db:61:0e > 33:33:00:00:00:fb, ethertype IPv6 (0x86dd), length 108: fe80::2f2e:b4ea:7005:6975.5353 > ff02::fb.5353: 0 TXT (QM)? hackair._sftp-ssh._tcp.local. (46)
12:01:57.022105 d0:50:99:5c:45:cf > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 1474: 172.27.21.149.5353 > 224.0.0.251.5353: 0 [b2&3=0x200] [29a] [2q] PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. (1432)
12:01:57.543188 38:e6:0a:c8:be:dc > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 103: 172.27.30.193.5353 > 224.0.0.251.5353: 3 [2q] PTR (QM)? _37F83649._sub._googlecast._tcp.local. PTR (QM)? _googlecast._tcp.local. (61)
12:01:59.319050 bc:ee:7b:db:59:7c > 33:33:00:00:00:fb, ethertype IPv6 (0x86dd), length 122: fe80::d2d7:6509:c857:bb14.5353 > ff02::fb.5353: 0 SRV (QM)? ArijitM-bM-^@M-^Ys MacBook Air (3)._smb._tcp.local. (60)
12:01:59.631980 4c:18:9a:cd:1b:08 > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 136: 172.27.30.160.5353 > 224.0.0.251.5353: 1 [2q] PTR (QU)? _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local. PTR (QU)? _googlecast._tcp.local. (94)
12:02:00.572065 4c:18:9a:cd:1b:08 > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 136: 172.27.30.160.5353 > 224.0.0.251.5353: 2 [2q] PTR (QM)? _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local. PTR (QM)? _googlecast._tcp.local. (94)
12:02:00.572408 bc:ee:7b:db:61:0e > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 88: 172.27.18.29.5353 > 224.0.0.251.5353: 0 TXT (QM)? hackair._sftp-ssh._tcp.local. (46)
12:02:00.782674 d0:50:99:5c:45:cf > 33:33:00:00:00:fb, ethertype IPv6 (0x86dd), length 1503: fe80::d250:99ff:fe5c:45cf.5353 > ff02::fb.5353: 0 [b2&3=0x200] [29a] [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (1441)
12:02:01.303250 bc:ee:7b:db:59:7e > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 91: 172.27.22.159.5353 > 224.0.0.251.5353: 0 TXT (QM)? linux-xer3._sftp-ssh._tcp.local. (49)
12:02:01.555663 4c:18:9a:cd:1b:08 > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 136: 172.27.30.160.5353 > 224.0.0.251.5353: 3 [2q] PTR (QM)? _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local. PTR (QM)? _googlecast._tcp.local. (94)
12:02:02.497507 bc:ee:7b:db:59:b8 > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 91: 172.27.22.84.5353 > 224.0.0.251.5353: 0 TXT (QM)? linux-xer3._sftp-ssh._tcp.local. (49)
